1h;4h;7h;10h;13h;16h;19h;22h
1;0.5875;0.7975;0.8;0.5375;0.395;0.0625;0.9825
0.175350701;1;0.21993988;0.065631263;0.04509018;0.131763527;0.03757515;0.131262525
0.407106164;0.720462329;1;0.317208904;0.184503425;0.292380137;0.225599315;0.624571918
0.625;0;1;0;0.675;0.6625;0;0
0.137614679;0.035779817;0.457798165;1;0.11559633;0.023853211;0.04587156;0.014678899
0.30224525;0.574265976;1;0.188255613;0.170120898;0.158894646;0.238341969;0.354058722
0;0;0.344827586;1;0.310344828;0;0;0.568965517
0.833333333;0;1;0.483333333;0;0;0;0
0.833333333;0;1;0.483333333;0;0;0.416666667;0
0;0.39;1;0;0.36;0;0.25;0.49
0.3125;0.98125;1;0.725;0.3375;0.33125;0;0.1
0.383631714;1;0.713554987;0.37084399;0.230179028;0.202046036;0.191815857;0.294117647
0.227272727;0.177272727;1;0.790909091;0.327272727;0.359090909;0.113636364;0.222727273
0;0;1;0.483333333;0.6;0;0.416666667;0
0;0;0.555555556;0.805555556;1;0.180555556;0.347222222;0.229166667
0.274536719;0.537405628;1;0.48867536;0.135209334;0.234728895;0.240905971;0.179821551
1;0;0.8;0.1;0.24;0.7;0.333333333;0
0.364963504;1;0.948905109;0.689781022;0.131386861;0.193430657;0.182481752;0.419708029
0.416666667;0.325;1;0.366666667;0.15;0.216666667;0.208333333;0
0.980392157;0;0;1;0.352941176;0.774509804;0.490196078;0
0;0;1;0.55;0;0.6625;0.3125;0.4125
0.357142857;0;1;0.414285714;0.385714286;0.378571429;0;0.114285714
0;0.52;0.266666667;0.586666667;0.24;0.346666667;1;0
1;0.39;0.8;0.58;0.18;0;0;0.16
0.384615385;0.903846154;1;0.223076923;0.346153846;0.403846154;0.288461538;0.692307692
0;0;0;1;0;0;0;0
0.173010381;0.134948097;0.415224913;0.602076125;0.249134948;1;0.08650519;0.339100346
0.208333333;0.979166667;1;0.183333333;0.15;0.545833333;0.208333333;0.75
1;0;0.8;0;0;0;0;0
0.23006135;0.539877301;0.826687117;0.780674847;0.412576687;0.765337423;1;0.251533742
0;0;0.769230769;0.576923077;0;1;0.961538462;0
0;0;0.277777778;0.611111111;1;0.361111111;0;0.222222222
0.4;0.312;0.48;0.12;0.288;0;1;0
0.715990453;0.186157518;1;0.207637232;0.085918854;0.377088305;0.178997613;0.116945107
0;0;0;0.58;0.36;0;1;0
0.172711572;0.540587219;1;0.452504318;0.21761658;0.317789292;0.172711572;0.310880829
0.526553106;0.862725451;1;0.902805611;0.404809619;0.223947896;0.264028056;0.312124248
0;0;1;0;0;0;0;0
0;0.15;1;0.726923077;0.276923077;0.303846154;0.192307692;0.315384615
0.44041977;0.211916046;1;0.172308734;0.17027759;0.106635071;0.136086662;0.116452268
0.297297297;0.129202373;1;0.526697429;0.36717205;0.121292024;0.281476599;0.302570864
0;0.65;1;0.25;0;0;0.833333333;0
0.439970717;0.057101025;0.818448023;1;0.631039531;0.5;0.734992679;0.227672035
0.154798762;0.181114551;0.40247678;0.561919505;1;0.325077399;0.23374613;0.102167183
0.255754476;1;0.358056266;0.966751918;0.322250639;0.335038363;0.578005115;0.20971867
0.178890877;0.490161002;1;0.858676208;0.513416816;0.470483005;0.404293381;0.264758497
0.259515571;0.067474048;0.173010381;0.176470588;0.155709343;1;0;0.226643599
0;0.302504817;1;0.140655106;0.069364162;0;0;0
0;0.360091743;0.229357798;1;0.165137615;0.603211009;0.286697248;0.224770642
0.191204589;0.223709369;0.497131931;1;0.206500956;0.200764818;0.191204589;0.282982792
0.544860627;0.93728223;1;0.37325784;0.101480836;0.423344948;0.273083624;0.321428571
0.326797386;0.427015251;1;0.790849673;0.507625272;0.745098039;0.984749455;0.250544662
0;0;1;0;0;0;0;0
0;1;0.512820513;0.192307692;0.461538462;0;0;0.205128205
0.632911392;0.493670886;0.253164557;0.556962025;0;1;0;0
0;0;1;0;0;0;0;0
0;0;1;0;0;0;0;0
0;1;0.256410256;0;0.230769231;0;0;0
0;0;1;0;0;0;0;0.4
0;0;1;0;0;0;0;0.8
0;0.975;1;0;0;0;0;0
0.641025641;1;0.512820513;0.564102564;0;0.333333333;0;0.205128205
0;1;0;0.743589744;0;0;0.641025641;0
0.190839695;0.446564885;0.458015267;0.664122137;0.20610687;0.400763359;0.095419847;1
0.154607297;0.265924552;1;0.988249845;0.499690785;0.194805195;0.139764997;0.131725417
0.47826087;0.336359293;0.868131868;1;0.282847587;0.062589584;0.347826087;0.305303392
0;0;0;0.814814815;1;0.481481481;0;0
0.609756098;0;0.487804878;0.353658537;0.219512195;0.963414634;0;1
0;1;0.25477707;0.095541401;0.114649682;0;0;0.312101911
0.263504611;0.20685112;1;0.841897233;0.472990777;0.519104084;0.495388669;0.06455863
0;0.448275862;0.91954023;1;0;0;0;0
0.396825397;0.30952381;0.158730159;0.69047619;1;0.206349206;0.396825397;0.126984127
0;0.78;0;0.88;0.72;0.52;1;0
0;0.195;1;0.365;0.36;0.13;0.125;0.08
0;0;1;0;0;0;0;0.8
0.632911392;0.493670886;0.506329114;0.64556962;0.455696203;1;0.158227848;0.417721519
1;0.448571429;0.285714286;0.414285714;0.102857143;0.151428571;0.142857143;0.045714286
0;0;0;0.402777778;1;0;0;0
0.943396226;0;0.754716981;0.283018868;0;1;0;0.301886792
0.756097561;1;0.881533101;0.793263647;0.75029036;0.671312427;0.291521487;0.43786295
0.442110732;0.528573549;1;0.465934392;0.425040819;0.466157043;0.322176043;0.30785216
0;0.4875;1;0.3625;0;0;0;0
0.943396226;0;0.377358491;0.547169811;0.679245283;1;0;0
0;1;0.512820513;0.371794872;0.923076923;0.333333333;0.641025641;0
0.641025641;1;0.256410256;0;0;0.333333333;0;0
0.227790433;0.266514806;1;0.760820046;0.489749431;0.298405467;0.628701595;0.186788155
0.208333333;0.1625;1;0.120833333;0;0.108333333;0.104166667;0.066666667
0.442477876;0.923303835;1;0.513274336;0.10619469;0.309734513;0.221238938;0.483775811
0.389871142;0.492658076;0.825591849;0.901408451;0.731795025;1;0.398561582;0.260413545
0.67364486;0.936074766;1;0.831028037;0.35588785;0.550280374;0.243738318;0.545420561
0.474277978;0.777075812;1;0.560694946;0.490072202;0.278655235;0.311371841;0.843411552
0.357142857;0.835714286;1;0.621428571;0.642857143;0.185714286;0.357142857;0.114285714
0;0;0.152671756;1;0.549618321;0.198473282;0;0.374045802
0;0;1;0;0;0;0;0
0.362318841;0.141304348;0.795289855;1;0.71557971;0.096014493;0.18115942;0.088768116
0.277777778;0.65;1;0.483333333;0.5;0.144444444;0.277777778;0.088888889
0;0;0;0.6;0;0;1;0
0.833333333;0.65;1;0.733333333;0.3;0;0;0.55
0.261482255;0.653444676;1;0.659707724;0.196764092;0.384133612;0.170146138;0.265135699
1;0.4345898;0.044345898;0.097560976;0.039911308;0.290465632;0;0.10864745
0;0.474962064;1;0.330804249;0.054628225;0;0.113808801;0.174506829
0;0;0.506329114;0.189873418;0.227848101;1;0.316455696;0
0.641025641;1;0;0.192307692;0;0;0.320512821;0
0;0;0.555555556;0;1;0;0;0
0;0;0;1;0;0;0;0
0;0.481481481;0.49382716;0.537037037;1;0.160493827;0.154320988;0.50617284
0.199203187;0.155378486;0.796812749;0.406374502;1;0;0.298804781;0.131474104
0.416666667;0.975;1;0.966666667;0.15;0;0;0.408333333
0.765306122;1;0.510204082;0.295918367;0.275510204;0.668367347;0.12755102;0.336734694
0.319488818;1;0.702875399;0.233226837;0.115015974;0.169329073;0;0.156549521
0.880920162;0.688768606;1;0.274695535;0.219215156;0.640054127;0.305818674;0.843031123
0.431034483;0.336206897;0.517241379;1;0;0;0.646551724;0.137931034
0.625;0;1;0.3625;0.225;0;0.625;0
0;1;0.512820513;0;0;0.333333333;0;0
0.191513761;0.463685015;0.847094801;1;0.878440367;0.241207951;0.316513761;0.21941896
0.133600534;0.287241149;1;0.621242485;0.539746159;0.228456914;0.268537074;0.372077488
0.250626566;0.588972431;1;0.182957393;0.406015038;0.328320802;0.313283208;0
0.08097166;0.285020243;0.694736842;0.6;0.493927126;1;0.426720648;0.132793522
0.680621582;0.432091193;1;0.500638961;0.346879313;0.638092317;0.316822573;0.220416092
1;0.782857143;0.854285714;0.457142857;0.102857143;0.677142857;0.502857143;0.094285714
0.591446258;0.33033202;1;0.449634215;0.181767023;0.414181204;0.254361283;0.193584693
0.455235205;0.890743551;1;0.220030349;0.191198786;0.438543247;0.305007587;0.397572079
0;0.521594684;0.598006645;0.724252492;0.239202658;0.086378738;1;0.053156146
0;0;0;1;0.409090909;0.590909091;0;0
0.009737098;0.015189873;0.151703992;0.755598832;1;0.829016553;0.229600779;0.044790652
1;0.326123128;0.863560732;0.507487521;0.357737105;0.612312812;0.166389351;0.191347754
1;0;0.4;0;0;0;0;0.32
0.344827586;0;0;1;0.372413793;0.544827586;0.172413793;0.110344828
0.135317997;0.052774019;1;0.235453315;0.412719892;0;0.101488498;0.02165088
0.156739812;0.244514107;1;0.454545455;0.056426332;0.576802508;0.313479624;0.257053292
0.065616798;0.102362205;0.157480315;0.800524934;0.070866142;1;0.065616798;0.043307087
0.241360836;0.157246183;1;0.408786499;0.149209751;0.211090276;0.268952585;0.355746049
0.182481752;1;0.145985401;0.160583942;0.065693431;0;0;0
0.955414013;1;0.636942675;0.369426752;0.229299363;0.503184713;0;0.624203822
0.395256917;0.515151515;1;0.689064559;0.425559947;0.623188406;0.297760211;0.303030303
0.55707107;0.281048098;0.043072505;0.516511127;0.038765255;1;0.017946877;0.082555635
0.417827298;0.545961003;1;0.403899721;0.050139276;0;0.278551532;0.091922006
0;0;1;0;0;0;0;0.825
0.427350427;1;0.170940171;0.623931624;0.307692308;0.897435897;0;0.136752137
0;0.4875;1;0.3625;0.45;0.325;0;0.2
0.523201856;0.408352668;0.278422274;0.40487239;1;0.610208817;0.087006961;0.475638051
0;0;1;0;0.1125;0;0;0
0;0;1;0;0.9;0;0;0
0.166944908;0.392320534;1;0.557595993;0.120200334;0.701168614;0.125208681;0.16360601
0.065616798;0.076771654;0.157480315;0.639107612;0.106299213;1;0.032808399;0.075459318
0;0;1;0;0.9;0;0;0
0;0.490605428;1;0.636743215;0.187891441;0.219206681;0.1565762;0.137787056
0;0;1;0.58;0.18;0.53;0;0.33
0.055679287;0.435412027;1;0.113585746;0.040089087;0.059020045;0;0.073496659
0.833333333;0.65;1;0.25;0.9;0.883333333;0.416666667;0
0.374320652;0.239130435;0.176630435;0.908288043;0.231657609;1;0.016983696;0.100543478
0;0.735849057;0.377358491;0;0;1;0;0
0;0;1;0.375;0;0.65;0;0
1;0.39;0.8;0.73;0.18;0.53;0.75;0
0;0;1;0.608333333;0;0;0;0
0.645207439;0.447782546;1;0.582260372;0.128755365;0.150214592;0.251788269;0.25751073
1;0;0.4;0.3;0.36;0;0.5;0
0;0.534246575;0.273972603;1;0.739726027;0.356164384;0;0.452054795
0;1;0;0.384615385;0;0;0;0
0.242326333;0.253634895;1;0.234248788;0.08723748;0.764135703;0.121163166;0.132471729
0.431442929;0.365398421;0.172290022;0.876525485;0.154343144;1;0.288585786;0.246949031
0;0.795918367;0.408163265;0.306122449;0;0.530612245;0;1
1;0.52;0.4;0;0.12;0;0;0
1;0;0.4;0.3;0.36;0;0;0.32
0;0;1;0.75;0;0;0;0
0;0;1;0.375;0;0;0;0
0.135869565;0.105978261;0.108695652;0.986413043;0.14673913;1;0;0.089673913
0.192307692;0.753846154;1;0.503846154;0.138461538;0.1;0;0.442307692
0.57807417;0.611093038;1;0.928919974;0.560670137;0.602635003;0.416395576;0.301398829
0.637614679;0.338939857;0.681447503;1;0.247196738;0.268093782;0.306829766;0.167176351
0;1;0.256410256;0;0;0.333333333;0;0
0.333889816;0.457429048;1;0.242904841;0.105175292;0.350584307;0.292988314;0.205342237
1;0;0.4;0.88;0;0;0.5;0
0;0.735849057;0.377358491;0;0.679245283;1;0;0.622641509
0.75;0.366573034;1;0.551029963;0.134363296;0.45505618;0.258426966;0.26076779
0.284090909;0.443181818;0.227272727;0.823863636;0.511363636;0.596590909;1;0
0.688073394;0.357798165;0.733944954;1;0.825688073;0.362385321;0.114678899;0.224770642
0.255102041;1;0.102040816;0;0;0;0;0
0;0;1;0.483333333;0;0;0.416666667;0
0;0.534246575;0.273972603;1;0.246575342;0.356164384;0;0
0.187102804;0.270654206;1;0.266168224;0.151028037;0.334018692;0.26728972;0.183925234
0;0.217270195;1;0.242339833;0.050139276;0;0;0
0.100200401;0.078156313;1;0.320641283;0.394789579;0.210420842;0.0501002;0.066132265
0.192307692;0;1;0.334615385;0.207692308;0.303846154;0;0.126923077
0.642191142;0.72960373;1;0.254079254;0.20979021;0.459207459;0.292540793;0.611888112
0.24;0.0624;0.7984;1;0.6608;0.2528;0.3216;0.2368
0;0;0;0.576923077;0.692307692;1;0;0
0.313506261;0.630143113;1;0.741055456;0.329159213;0.270125224;0.145796064;0.725849732
0;0;0;1;0.620689655;0;0;0
0;0;0.344827586;1;0.931034483;0;0.431034483;0.275862069
0.126796281;0.231614539;0.169061708;0.601859679;0.196956889;1;0.31783601;0.125105664
1;0.2925;0.5;0.3625;0.5375;0.46;0.125;0.6975
0.238663484;0.093078759;1;0.971360382;0.30071599;0.250596659;0.178997613;0.116945107
0;0;0;1;0;0;0;0
1;0.52;0.4;0.1;0.12;0;0.333333333;0
0.341985428;0.801912568;1;0.959471767;0.490437158;0.514571949;0.262750455;0.358378871
0.130548303;0.101827676;0.434290688;0.657963446;1;0.228894691;0.349869452;0.114012185
0.122249389;0.957212714;1;0.212713936;0.19804401;0.224938875;0.184596577;0.80195599
0.166944908;0.130217028;1;0.437395659;0.09015025;0.175292154;0.502504174;0.136894825
0.092764378;0.762523191;1;0.243042672;0.23283859;0.121521336;0.23283859;0.592764378
0;0;1;0.29;0;0.26;0.25;0.66
0.454545455;0.890909091;1;0.263636364;0;0.359090909;0.227272727;0.222727273
1;0.39;0.2;0.44;0.36;0;0;0.33
0;0;1;0.375;0.45;0.65;0;0
0;0.39;1;0;0;0;0;0.33
0.293624161;0.557885906;0.736577181;1;0.13590604;0.198825503;0.147651007;0.371644295
0;0;0;1;0;0;0;0
0.930232558;0.730232558;0.930232558;0.744186047;1;0.36744186;0.23255814;0.381395349
0;0;0;0.833333333;1;0;0;0
0.229357798;0.178899083;0.366972477;1;0.743119266;0.119266055;0.229357798;0.073394495
0;0.713636364;1;0.595454545;0.327272727;0.118181818;0.113636364;0.595454545
0.716332378;0.449856734;0.799426934;1;0.257879656;0.679083095;0.719197708;0.280802292
0.263504611;0.20685112;1;0.803689065;0.851119895;0.865612648;0.198945982;0.409749671
0.352112676;0.368544601;0.701877934;0.068075117;0.295774648;0.185446009;0.117370892;1
0.555555556;0;1;0.483333333;0.2;0.583333333;0.138888889;0.183333333
0.381679389;0;0.610687023;1;0.13740458;0;0;0
0.243309002;1;0.558394161;0.300486618;0.131386861;0.223844282;0.060827251;0.099756691
0;0;0;1;0;0;0;0
0.337381916;0.317139001;0.889338731;1;0.314439946;0.566801619;0.271255061;0.26585695
0.319284802;1;0.969348659;0.445721584;0.229885057;0.234993614;0.320561941;0.439335888
0;0.229862475;0.196463654;1;0.740667976;0.155206287;0.049115914;0.192534381
0;0.278571429;1;0.314285714;0.128571429;0.378571429;0;0
0.442477876;0.867256637;0.17699115;0.451327434;0.871681416;0.46460177;1;0.146017699
0;0;1;0;0;0;0;0
0.492610837;0.773399015;0.492610837;1;0.266009852;0.517241379;0.492610837;0.325123153
0.278551532;0;1;0.203342618;0;0.072423398;0.069637883;0.044568245
0.684510251;0.400911162;1;0.894077449;0.143507973;0.448747153;0.228929385;0.280182232
0;0;0;0.576923077;0.692307692;1;0;0
1;0;0.2;0;0.36;0;0;0.16
0.833333333;0;1;0.966666667;0.3;0.433333333;0;0.266666667
0;0;1;0.644444444;0;0;0.138888889;0.088888889
0.601601602;0.744744745;0.71971972;0.625625626;0.377377377;1;0.176176176;0.098098098
1;0.576235542;0.440588854;0.794952681;0.094637224;0.524710831;0.078864353;0.776025237
0.147347741;0.307465619;1;0.58546169;0.15913556;0.206286837;0.222003929;0.225933202
0;0.298469388;0.204081633;1;0.823979592;0.201530612;0.06377551;0.209183673
0.217864924;0.625272331;1;0.221496006;0.130718954;0.076252723;0.21859114;0.262164125
0.127388535;0.448407643;0.559235669;1;0.754140127;0.401273885;0.38343949;0.313375796
0;0.585;1;0.22;0.27;0;0.5;0
0.371287129;0.678217822;0.889851485;0.701732673;1;0.487623762;0.27970297;0.689356436
1;0;0.933333333;0.386666667;0.48;0.526666667;0.166666667;0.766666667
0;0.557142857;1;0.621428571;0.257142857;0.185714286;0.178571429;0.114285714
0;0;0;1;0;0;0;0
0.253807107;0.593908629;0.203045685;0.294416244;1;0.401015228;0.253807107;0
0;0;1;0.1875;0;0;0.3125;0
0.625;0.325;1;0.304166667;0.15;0;0.104166667;0.275
0.250626566;0.146616541;1;0.473684211;0.607769424;0.164160401;0.156641604;0.246867168
0.336260331;0.222107438;1;0.54803719;0.185433884;0.23088843;0.142561983;0.38946281
0.113173382;0.354459031;0.713897691;1;0.511996378;0.321412404;0.249886827;0.274784971
0.310433884;0.464876033;1;0.24018595;0.222623967;0.054235537;0.207644628;0.448863636
0.358422939;0.139784946;1;0.365591398;0.064516129;0;0;0.11827957
0.20242915;0.157894737;0.686234818;1;0.617408907;0.265182186;0.356275304;0.232793522
0;0;1;0;0;0;0;0
0;0;0;1;0.739726027;0.356164384;0;0.219178082
0.229357798;0.357798165;0.825688073;1;0.330275229;0.362385321;0.69266055;0.224770642
0.145243282;0.312273057;1;0.284676834;0.247639797;0.114742193;0.23674655;0.202614379
0;0.975;1;0;0;0;0;0.4
0;0;1;0;0.9;0;0;0
1;0.195;0.3;0.145;0.45;0.525;0.125;0
0.511678832;1;0.830656934;0.837956204;0.275182482;0.210948905;0.164963504;0.77810219
0.427350427;1;0.854700855;0.743589744;0.461538462;0.452991453;0.213675214;0.564102564
0.128369705;0.10012837;1;0.279845956;0.231065469;0.13478819;0.258023107;0.189987163
0.071530758;0.167381974;1;0.457796853;0.154506438;0.150214592;0.178826896;0.164520744
0.5;0.98;1;0.58;0.63;0.395;0.88;0.165
0.587420043;0.667377399;1;0.805970149;0.459488273;0.476545842;0.615138593;0.227078891
0.714285714;0.278571429;1;0.107142857;0;0.378571429;0.178571429;0.35
0.85106383;1;0.765957447;0.557446809;0.536170213;0.557446809;0.212765957;0.838297872
0.479233227;1;0.445686901;0.511182109;0.143769968;0.084664537;0.119808307;0.471246006
0.793650794;0.86984127;0.698412698;0.6;0.4;1;0.479365079;0.155555556
0.470266041;0.643192488;1;0.284037559;0.210485133;0.102503912;0.274647887;0.333333333
0;0.093078759;1;0.138424821;0.257756563;0;0.119331742;0.1575179
0.313479624;0.614420063;1;0.137931034;0.056426332;0.742946708;0.313479624;0.153605016
0;0.03888335;0.099700897;1;0.644067797;0.288135593;0.150548355;0.081754736
0.427350427;1;0.341880342;0;0;0;0;0.136752137
1;0;0.1;0;0;0.79;0;0.08
0;0.975;1;0.483333333;0;0;0.416666667;0.133333333
0;0.722222222;0.740740741;0.277777778;1;0;0.462962963;0
0.318471338;1;0.636942675;0.184713376;0;0;0;0.101910828
0.107526882;0.22437276;0.758422939;1;0.759139785;0.3390681;0.108243728;0.246594982
1;0;0.133333333;0.293333333;0.48;0.173333333;0;0
0;0;1;0;0;0;0;0
0.313152401;0.612734864;1;0.076200418;0.112734864;0;0.209812109;0.171189979
0;0;0.769230769;0.576923077;0;1;0;0
0;0.126009693;1;0.140549273;0.08723748;0.211631664;0.284329564;0.371567044
0;1;0.512820513;0;0;0;0;0
0.870143149;0.3599182;1;0.787321063;0.330265849;0.376278119;0.307770961;0.401840491
1;0.78;0.4;0.58;0;0.52;0;0.66
0.161550889;0.253634895;1;0.915993538;0.20355412;0.297253635;0.161550889;0.185783522
0.131752306;0.154150198;1;0.345191041;0.04743083;0.069828722;0.231884058;0.151515152
0.287356322;0.224137931;0.229885057;1;0.206896552;0.752873563;0.431034483;0.189655172
0;0.217472119;0.408921933;1;0.667286245;0.68401487;0.420074349;0.091078067
1;0;0.4;0;0;0;0;0
0.817016317;0.638694639;1;0.524475524;0.46037296;0.520979021;0.145687646;0.305361305
0.417661098;0.653937947;1;0.381861575;0.150357995;0.375894988;0.089498807;0.195704057
0;1;0.769230769;0;0.230769231;0;0;0.205128205
0.636942675;1;0.636942675;0.184713376;0;0.165605096;0.159235669;0.420382166
0;0.735849057;0.377358491;0.547169811;0.679245283;1;0;0.924528302
1;0.26;0.533333333;0.293333333;0.12;0.173333333;0.166666667;0.22
0;0;1;0.15;0;0.26;0.5;0
0;0.221590909;0.227272727;0.579545455;0.204545455;0.744318182;1;0
0.625;0;1;0.1875;0.45;0.325;0;0
0;1;0.50955414;0.369426752;0;0;0;0.101910828
0;0.702508961;1;0.103942652;0;0;0.089605735;0.05734767
0;0;0.165289256;1;0.198347107;0.289256198;0.068870523;0.090909091
1;0.39;0.2;0.44;0.18;0;0.5;0
0;0;1;0;0;0;0;0.33
